反馈id,端,内容,反馈产品,问题类型,问题标签,问题样张,组件,版本号,渠道号,traceid,guid,hdid,来源字单元id,deviceid,设备类型,设备型号名称,设备系统版本,设备系统语言,云开关状态,ABI类型,SVN号,VC值,反馈时间,是否处理,最后处理人昵称,用户附件数量,用户附件列表,内部附件列表,附加信息,备注,系统语言,安装位置,CPU,显卡信息,设备名称,内存,硬盘,分辨率,系统版本,时区,客户端模式,云同步状态
fb_6954b529b1404a004c82df52,pc,我存在桌面的文件怎么突然没有了  不是我之前存的进度,PC端个人中心,,,,wpsoffice,12.1.0.24034,12012.2019,,40D28F2971A7497D8C496D4A196F1433,c12630cf5895aab6efdb8b51bb82b833,,,,Win32,Win32,,,,,,2025/12/31 13:31,未处理,,0,,,,,zh-CN,D:\软件\WPS\WPS Office\12.1.0.24034 (1382MB),"12th Gen Intel(R) Core(TM) i5-12500H, 2.50GHz, ASUSTeK COMPUTER INC. K3502ZA","Intel(R) Iris(R) Xe Graphics, 2048MB VRAM, Driver v31.0.101.5590",XCC,DDR4-3200 SDRAM:8.3/15.6GB,"C:171.1/275GB, D:144.3/200GB",2880x1620,Microsoft Windows 11 家庭中文版(64 位) Build 26100 v10.0.26100,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954b49712fa9b004c7d646a,pc,无法查看历史打印记录,WPS OFFICE,,,,home,12.1.0.24034,50.524,1767158936211_10.81_259b28b1661b,DEB398C9DD4741C5AD0F0AAF39A3F4BF,7ee944bd03908eadb0214e363e346422,,,,Win32,Win32,,,,,,2025/12/31 13:28,未处理,,0,,,,,zh-CN,C:\Users\90943\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1367MB),"12th Gen Intel(R) Core(TM) i5-1240P, 1.70GHz, LENOVO 375A","GameViewer Virtual Display Adapter, VRAM, Driver v17.13.25.697 Intel(R) Iris(R) Xe Graphics, 2048MB VRAM, Driver v32.0.101.7026",伞德隆,DDR4-3200 SDRAM:13.3/15.7GB,C:74.7/475GB,1920x1080,Microsoft Windows 11 专业版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954b490e782ad00534b04db,pc,表格很卡,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,,02B29B779C4546CC88B12D4326DDEE07,eb81cc137c6222ad1c68a4b43324934c,,,,Win32,Win32,,,,,,2025/12/31 13:28,未处理,,0,,,,,zh-CN,C:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1395MB),"Intel(R) Pentium(R) Gold G6405 CPU @ 4.10GHz, 4.10GHz, Galaxy Microsystems Ltd. H510M LIGHTXY","OrayIddDriver Device, VRAM, Driver v17.1.58.818 Intel(R) UHD Graphics 610, 1024MB VRAM, Driver v31.0.101.2111",CHINAMI-G7MOF3T,DDR4-3200 SDRAM:6.9/7.8GB,C:97.7/120GB,1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954b48d38041a00537e11ce,pc,续写功能无法使用,PC端个人中心,,,,wpsoffice,12.1.0.24034,20.2706,,4862BF8976AC478FAA799D34A1C66630,3b2fe32f6d2c55e7dee490902e6132ad,,,,Win32,Win32,,,,,,2025/12/31 13:28,未处理,,0,,,,,zh-CN,F:\软件安装\WPS Office\12.1.0.24034 (1410MB),"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz, 2.90GHz, Gigabyte Technology Co., Ltd. B365 M AORUS ELITE-CF","OrayIddDriver Device, VRAM, Driver v17.1.58.818 NVIDIA GeForce GT 1030, VRAM, Driver v32.0.15.6094",DESKTOP-13DT4ED,DDR4-2666 SDRAM:5.7/7.9GB,"C:126.1/149GB, F:132.9/149GB",1440x900,Microsoft Windows 10 家庭版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954b474e782ad00534b04d0,pc,总是打不开,拼音指南,,,,WPS,12.1.0.24034,12012.2019,1767158899420_0.15_b461082e9147,902BFC4978E74D6FB7C1676287598630,bed1c022d5ceb2b99c2fb2a10efc2b29,,,,Win32,Win32,,,,,,2025/12/31 13:28,未处理,,0,,,,,zh-CN,,,,,,,,,,,auto
fb_6954b448118666005a2b1675,pc,不显示插入复制单元格,WPS OFFICE,,,,home,12.1.0.24657,50.517,1767158856013_10.126_0b45b1f152e3,77E78938F3FD4715B377146B6A065F4A,2e7d233a0cb87cd228c9259a535c2cce,,,,Win32,Win32,,,,,,2025/12/31 13:27,未处理,,0,,,,,zh-CN,C:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.24657 (1309MB),"Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz, 2.90GHz, ASUSTeK COMPUTER INC. PRIME H510M-K","OrayIddDriver Device, VRAM, Driver v17.1.58.818 Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v31.0.101.2128",WIN-20250306TIB,DDR4-2667 SDRAM:6.5/7.8GB,C:76.2/237GB,1920x1080,Microsoft Windows 10 企业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954b42de782ad00534b04bf,pc,去年签到领会员的兑换入口消失了，通知是到12月31日的,PC端个人中心,,,,wpsoffice,12.1.0.24034,12012.2019,,5CB04B77277B424884B88FF329F2F673,72ff772b4db645a0e25a504bc7c17d8c,,,,Win32,Win32,,,,,,2025/12/31 13:27,未处理,,0,,,,,zh-CN,D:\WPS\WPS Office\12.1.0.24034 (1383MB),"Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz, 3.00GHz, LENOVO 313A","Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v31.0.101.2115",KC-x-zhang,DDR4-2933 SDRAM:5.5/7.9GB,"C:84.3/100GB, D:179.5/830GB",1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 22000 v10.0.22000,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954b42c26195c0053e71b79,pc,开票怎么开票,PC端个人中心,,,,wpsoffice,12.1.0.24034,2345.262866,,206F7BAF44D84AA2ADCC7B9524025892,7bf92cf14d5179782e52146ec81be4ad,,,,Win32,Win32,,,,,,2025/12/31 13:27,未处理,,0,,,,,zh-CN,D:\Program Files (x86)\WPS Office\12.1.0.24034 (1367MB),"12th Gen Intel(R) Core(TM) i5-12600HX, 2.50GHz, Lenovo (Beijing) Limited BaiyingPlus DT M300IAH","OrayIddDriver Device, VRAM, Driver v17.50.19.949 Intel(R) UHD Graphics, 1024MB VRAM, Driver v31.0.101.4887",User-2025PUVBRJ,DDR4-3200 SDRAM:7.4/15.7GB,"C:46.5/300GB, D:9.5/327GB",1920x1080,Microsoft Windows 11 专业版(64 位) Build 22631 v10.0.22631,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954b3f5d449ec005a1e9682,pc,整合模式下窗口依然单个打开,WPS OFFICE,,,,home,12.1.0.24034,20.2706,1767158772822_1.37_fe34a3cb485d,89916141F66441D88DF1F0E45CC27A82,821b124e4cbe7aeaf8b9ec70db2d89ef,,,,Win32,Win32,,,,,,2025/12/31 13:26,未处理,,0,,,,,zh-CN,C:\Users\茄子\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1368MB),"AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx  , 2.10GHz, LENOVO LNVNB161216","Sharing Monitor, VRAM, Driver v12.35.25.181 AMD Radeon(TM) Vega 8 Graphics, VRAM, Driver v27.20.11036.3",LAPTOP-V2PC3H78,DDR4-2667 SDRAM:4.6/5.9GB,C:145.4/237GB,1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 26100 v10.0.26100,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954b369b1404a004c82df44,pc,"用WPS的规划求解(a1*x+b1)^2+(a2*y+b2)^2+(a3*y+b3)^2=9.8^2, 用了十组数据，使用规划求解，但是一直是没有得出解，是否设置有问题，",PC端个人中心,,,,wpsoffice,12.1.0.24034,12012.2019,,0D3E8C4BFDD648458356AF8127CD359B,c476c3cb4aea8fbf4c21dbc1c33e87c7,,,,Win32,Win32,,,,,,2025/12/31 13:23,未处理,,8,"https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767158069071/o_1jdpdjr992suc90157s1u8k1vree.xlsx
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767158069071/o_1jdpdk2t7kr29hope1d6r6i8s.png
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767158069071/o_1jdpdk2t71bv0328pe31afd1oupu.png
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767158069071/o_1jdpdk2t81shj8oe7t010k51vt510.png
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767158069071/o_1jdpdk2t88b6c0f18vn7jo44n12.png
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767158069071/o_1jdpdk2t81a4dc6m1c6q3g11g6u14.png
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767158069071/o_1jdpdkbfq1s7bgj25p3166c6b22g.png
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767158069071/o_1jdpdkbfq8bkjhq1rp879ebg82i.png",,,,zh-CN,D:\Program Files (x86)\Kingsoft\WPS Office\12.1.0.24034 (1397MB),"11th Gen Intel(R) Core(TM) i5-11500H @ 2.90GHz, 2.92GHz, Dell Inc. 0F84CX","NVIDIA GeForce MX450, VRAM, Driver v32.0.15.7344 Intel(R) UHD Graphics, 2048MB VRAM, Driver v32.0.101.7077",YH,DDR4-3200 SDRAM:14.6/15.7GB,"C:258.8/302GB, D:77.4/172GB",1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 22000 v10.0.22000,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954b1c5b1404a004c82df30,pc,"AI中英互译报错，请告知是什么原因 “=IFERROR(WEBSERVICE(""https://translate.googleapis.com/translate_a/single?client=gtx&sl=auto&tl=en&dt=t&q=""&ENCODEURL(B1)),""Translation Error"")”",PC端个人中心,,,,wpsoffice,12.1.0.24034,12012.2019,,F8259D1FD6F242E28E333A73D217EC17,3948fd22ab23bf124a0b9dbcf50013e4,,,,Win32,Win32,,,,,,2025/12/31 13:16,未处理,,0,,,,,zh-CN,C:\Users\z004te0a\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1383MB),"11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz, 2.61GHz, HP 8AB3","Intel(R) Iris(R) Xe Graphics, 2048MB VRAM, Driver v32.0.101.7077 Citrix Indirect Display Adapter, VRAM, Driver v12.40.44.247",SE-5CG30700HC,DDR4-3200 SDRAM:16.5/31.7GB,C:358.4/476GB,1920x1080,Microsoft Windows 10 Enterprise(64-bit) Build 19045 v10.0.19045,"(UTC+08:00) Beijing, Chongqing, Hong Kong, Urumqi",Integration,auto
fb_6954b06b38041a00537e11a0,pc,会员为什么不是黑色的,外观设置,,,,wpsoffice,12.1.0.24034,12012.2019,,164D02914DC6459B9E484EB191123ABF,8a6dc5ebfea369f7d624d86365118e97,,,,Win32,Win32,,,,,,2025/12/31 13:11,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767157823445/o_1jdpd1cocuf1ift1uu1to51rire.png,,,,zh-CN,D:\工作软件\WPS Office\12.1.0.24034 (1367MB),"Intel(R) Core(TM) i5-14400, 2.50GHz, edianyun 610M","Intel(R) UHD Graphics 730, 2048MB VRAM, Driver v32.0.101.6737",DESKTOP-7015755,DDR4-3200 SDRAM:12.5/31.6GB,"C:83.3/400GB, D:11.3/539GB",1920x1080,Microsoft Windows 11 家庭版(64 位) Build 22631 v10.0.22631,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954b04f38041a00537e1195,pc,为什么素材下载不了，,在线素材库,,,,wps,12.1.0.15990,51.403,1767157839547_210.88_c84747978407,A45AFBCD5EA8437A8355EFE204DD338E,879aea4bc61b6dec4cf8d2da46165b04,,,,Win32,Win32,,,,,,2025/12/31 13:10,未处理,,0,,,,,zh-CN,,,,,,,,,,,manual
fb_6954afe3e782ad00534b049f,pc,wps没法ai识别,PC端个人中心,,,,wpsoffice,12.1.0.22130,20.3025,,9B4F9EC2F6494D5883CE4A5BE22D69E9,5825f0a84e4700de81795791e2640a14,,,,Win32,Win32,,,,,,2025/12/31 13:08,未处理,,0,,,,,zh-CN,C:\Users\user\AppData\Local\Kingsoft\WPS Office\12.1.0.22130 (1318MB),"Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz, 3.60GHz, Gigabyte Technology Co., Ltd. H310M S2","NVIDIA GeForce GT 730, VRAM, Driver v27.21.14.5671",DESKTOP-U15AVQ0,DDR4-2400 SDRAM:6.9/15.9GB,C:185.2/238GB,1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,,manual
fb_6954afbcab7987004cfd48fa,pc,能否在智能表单的考试信息中的填空试题属性中添加一个：只允许的内容列表，这样就可以添加自己的学生名单在里面。,WPS表单,其他，请在反馈内容描述您的问题,,,home,12.1.0.24031,12012.2019,,C861811FDBC14EF79C8BA3D400AFD756,2c58dc7b537b190a06e8d443f0f8ec63,,,,Win32,Win32,,,,,,2025/12/31 13:08,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767157408380/o_1jdpcsabu12tnkr711rt1lto1lt8e.png,,,,zh-CN,d:\WPS Office\12.1.0.24031 (1383MB),"Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz, 3.10GHz, HP 870C","Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v27.20.100.8190 Radeon RX550/550 Series, VRAM, Driver v27.20.2001.13001",DESKTOP-KFRPFHN,DDR4-3200 SDRAM:11.1/15.8GB,"C:59.0/238GB, d:11.2/199GB",2560x1440,Microsoft Windows 10 专业版(64 位) Build 17763 v10.0.17763,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954af9a3dc417005ae62cd1,pc,请问WPS签到领超级会员时长活动的兑换入口去哪了？不是说入口保留到今天的吗？怎么今天进去没有了？,PC端个人中心,,,,wpsoffice,12.1.0.24031,1.1,,B8188EB434FC4465BB0945D64C14FFFD,3556fbc21a669258ca7c103c46dd1226,,,,Win32,Win32,,,,,,2025/12/31 13:07,未处理,,0,,,,,zh-CN,C:\Users\admin\AppData\Local\Kingsoft\WPS Office\12.1.0.24031 (1383MB),"Intel(R) Celeron(R) N5095 @ 2.00GHz, 2.00GHz, AOC N5095T V3.1","Intel(R) UHD Graphics, 1024MB VRAM, Driver v31.0.101.1999 OrayIddDriver Device, VRAM, Driver v17.50.19.949",DESKTOP-65DFPRB,DDR4-2667 SDRAM:6.0/7.8GB,C:86.7/98GB,1920x1080,Microsoft Windows 11 专业版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954af5c26195c0053e71b4b,pc,导出来 换个文档根本导不进去，那我做流程图有啥意义,流程图,效果不满意/功能不好用,导出效果不符合预期,,wps,12.1.0.24034,50.517,,FBF714B87E9246A8923C31403284AB95,8b0c6afd703bd8c503fda55e1f054c60,,,,Win32,Win32,,,,,,2025/12/31 13:06,未处理,,0,,,,,zh-CN,C:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1351MB),"Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, 2.59GHz, HP 85FC","OrayIddDriver Device, VRAM, Driver v17.1.58.818 NVIDIA GeForce GTX 1650, VRAM, Driver v32.0.15.8115 Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v31.0.101.2115",DESKTOP-N8AIVKQ,DDR4-2667 SDRAM:9.1/15.8GB,C:95.4/249GB,1920x1080,Microsoft Windows 11 家庭版(64 位) Build 22621 v10.0.22621,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954aee4b28a0c004c50bb61,pc,粘贴可见单元格怎么没有了,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.517,,4728008436A44C799829F41410E0F1FA,518bcd1a2fd8663a9f5422fe95ae4287,,,,Win32,Win32,,,,,,2025/12/31 13:04,未处理,,0,,,,,zh-CN,D:\WPS Office\12.1.0.24034 (1413MB),"Intel(R) Core(TM) i5-10400F CPU @ 2.90GHz, 2.90GHz, Gigabyte Technology Co., Ltd. H510M S2","NVIDIA GeForce GT 730, VRAM, Driver v27.21.14.5671",DESKTOP-T8RUDMD,DDR4-2666 SDRAM:5.4/7.9GB,"C:69.6/89GB, D:67.7/148GB",1600x900,Microsoft Windows 11 专业版(64 位) Build 22631 v10.0.22631,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954aed412fa9b004c7d643d,pc,WPS粘贴可见单元格怎么没有了,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.517,,4728008436A44C799829F41410E0F1FA,518bcd1a2fd8663a9f5422fe95ae4287,,,,Win32,Win32,,,,,,2025/12/31 13:04,未处理,,0,,,,,zh-CN,D:\WPS Office\12.1.0.24034 (1413MB),"Intel(R) Core(TM) i5-10400F CPU @ 2.90GHz, 2.90GHz, Gigabyte Technology Co., Ltd. H510M S2","NVIDIA GeForce GT 730, VRAM, Driver v27.21.14.5671",DESKTOP-T8RUDMD,DDR4-2666 SDRAM:5.4/7.9GB,"C:69.6/89GB, D:67.7/148GB",1600x900,Microsoft Windows 11 专业版(64 位) Build 22631 v10.0.22631,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954aea6b28a0c004c50bb4b,pc,这款软件为啥不能编辑图片？这款软件能编辑文档、表格、幻灯片，就是不能编辑图片，打印图片？,WPS OFFICE,,,,home,12.1.0.24034,50.513,,9BB40A7839CB4BBD89446C36078FC96F,ee2ee0632969b7391c57bffa89009f0d,,,,Win32,Win32,,,,,,2025/12/31 13:03,未处理,,0,,,,,zh-CN,C:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1368MB),"AMD Athlon(tm) X4 855 Quad Core Processor      , 3.50GHz, LENOVO 3694","AMD Radeon HD 7000 series, VRAM, Driver v12.104.0.0",USER-20250923FY,Unknown Memory-1600 SDRAM:2.8/3.9GB,C:30.7/150GB,1920x1080,Microsoft Windows 7 旗舰版 (64-bit) Build 7601 v6.1.7601,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954ae97b1404a004c82df0f,pc,已经缴超级会员费，为什么显示缴费项，且会员未生效,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.513,,E98E71E26AC444D08A3E469E231BF454,0d7de48c0f0f8ef8414aa35c41e9ca65,,,,Win32,Win32,,,,,,2025/12/31 13:03,未处理,,0,,,,,zh-CN,D:\Program Files (x86)\Kingsoft\WPS Office\12.1.0.24034 (1378MB),"Intel(R) Core(TM) i5-9500F CPU @ 3.00GHz, 3.00GHz, LENOVO 3176","标准 VGA 图形适配器, VRAM, Driver v6.1.7600.16385",DLROS-20210514W,Unknown Memory-2667 SDRAM:3.6/7.9GB,"C:29.4/111GB, D:17.9/100GB",1280x1024,Microsoft Windows 7 旗舰版 (64-bit) Build 7601 v6.1.7601,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954ae8538041a00537e117a,pc,我要恢复白色底板,文字套模板,,,,WPS,12.1.0.24034,50.513,,,,,,,Win32,Win32,,,,,,2025/12/31 13:03,未处理,,0,,,,,,,,,,,,,,,,
fb_6954ae2f118666005a2b164e,pc,WPS无法打印文档，一直卡在正在初始化打印机，关也关不了对话框；昨天及以前都能正常用；电脑打开的JPG照片可以正常打印；,发送错误报告,,,,wps,12.1.0.24034,30.12012,,2B00034DC28E413482983ECB486D2246,952918bb2f6c6799b7150eb08003fd62,,,,Win32,Win32,,,,,,2025/12/31 13:01,未处理,,2,"https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767157068240/o_1jdpcdg9o1jfdm3j1f7utvj1nibf.jpg
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767157068240/o_1jdpcdg9p3m21cms1vgpppc6avh.jpg",,,,zh-CN,,,,,,,,,,,manual
fb_6954add3d449ec005a1e966c,pc,清理还选需要会员？啥不需要会员？你告诉举报你们的地址在哪里？,WPS OFFICE,,,,home,12.1.0.24657,50.524,1767157202654_8.101_738f630aeab9,C8EF6C4E708E4C03BF727AFD7D7F1FA9,0943fe27e398a02dc9dfc1effddd1f2e,,,,Win32,Win32,,,,,,2025/12/31 13:00,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767156891934/o_1jdpccoph1crg19b31kdh5kgugke.png,,,,zh-CN,C:\Users\李\AppData\Local\Kingsoft\WPS Office\12.1.0.24657 (1309MB),"13th Gen Intel(R) Core(TM) i5-1340P, 1.90GHz, UNICOMPUTE 600D","Intel(R) UHD Graphics, 1024MB VRAM, Driver v31.0.101.4255",LAPTOP-451854MB,Unknown Memory-5600 SDRAM:10.4/15.7GB,C:114.4/952GB,2880x1800,Microsoft Windows 11 家庭中文版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6954ada9e782ad00534b0499,pc,为什么手机上可以进行多文件进行选择分享电脑端却没有？不知道是我没找到相关操作还是电脑端只支持单文件分享，烦请给个回复。,WPS OFFICE,,,,home,12.1.0.21915,50.524,,6604440DB3034316A6113875EB799DE3,429a9e9e26bf5a33170d6c52d67fefc1,,,,Win32,Win32,,,,,,2025/12/31 12:59,未处理,,0,,,,,zh-CN,C:\Users\syy10\AppData\Local\Kingsoft\WPS Office\12.1.0.21915 (1317MB),"AMD Ryzen 7 8845H w/ Radeon 780M Graphics, 3.80GHz, MECHREVO GM5HG0A","AMD Radeon 780M Graphics, 512MB VRAM, Driver v32.0.11039.3006 NVIDIA GeForce RTX 4060 Laptop GPU, VRAM, Driver v32.0.15.7283",DESKTOP-90RVFKH,Unknown Memory-5600 SDRAM:11.6/31.3GB,C:202.4/300GB,2560x1600,Microsoft Windows 11 家庭中文版(64 位) Build 26100 v10.0.26100,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,,auto
fb_6954ad603dc417005ae62cb6,pc,ppt的动态图表数据编辑源文件无效,WPS OFFICE,,,,home,12.1.0.24034,50.524,1767157088170_112.209_cd96fd32eb37,A1A0BC764CA34D74BB137A3F8CA58B7C,b614238bfe90876def0fadc1e8b39a17,,,,Win32,Win32,,,,,,2025/12/31 12:58,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767157007087/o_1jdpca5ca1kee16c11gl315ms1c5le.png,,,,zh-CN,C:\Users\SAMTIN\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1398MB),"12th Gen Intel(R) Core(TM) i7-12700F, 2.10GHz, ASUSTeK COMPUTER INC. B760M-T D4","NVIDIA Quadro M4000, VRAM, Driver v32.0.15.7324",DESKTOP-DVLMINM,DDR4-3200 SDRAM:19.5/63.8GB,C:173.4/196GB,3840x2160,Microsoft Windows 11 专业版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954ad21616a01005ac78f25,pc,关闭ai，影响办公,WPS灵犀,,,,lingxi_local_wps,12.1.0.24034,12012.2019,,388FDE56598D4D9BB955932DE503AF1D,27062ff0ba62a9dd1c6dbfef85a5fa84,,,,Win32,Win32,,,,,,2025/12/31 12:57,未处理,,0,,,platform=wps&openTrackId=b213cdfe8f794732b5651b1ee58c6bd7&traceId=LX_500953628_1767156952920_3896,,zh-CN,C:\Users\12155\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1397MB),"AMD Ryzen 7 7840H w/ Radeon 780M Graphics      , 3.80GHz, LENOVO LNVNB161216","AMD Radeon(TM) 780M, 512MB VRAM, Driver v31.0.14005.22001 NVIDIA GeForce RTX 4060 Laptop GPU, VRAM, Driver v32.0.15.8180",LuoJiaMeng,Unknown Memory-5600 SDRAM:13.0/15.2GB,C:419.4/502GB,2560x1600,Microsoft Windows 11 家庭中文版(64 位) Build 22631 v10.0.22631,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954ad12d449ec005a1e9666,pc,原活动签到入口如何进去,PC端个人中心,,,,wpsoffice,12.1.0.23542,20.2706,,5721F25D380049BE9278C60730643CE0,c46c288dbcec7ce4f24eaf3a9205cff5,,,,Win32,Win32,,,,,,2025/12/31 12:56,未处理,,0,,,,,zh-CN,D:\保存的文件BOSS\wps保存文件\WPS Office\12.1.0.23542 (1399MB),"Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz, 2.30GHz, LENOVO LNVNB161216","NVIDIA GeForce GTX 1050 Ti, VRAM, Driver v32.0.15.6590 Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v27.20.100.8729",DESKTOP-Q008SK4,DDR4-2667 SDRAM:5.3/7.9GB,"C:159.4/218GB, D:634.8/932GB",1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 26100 v10.0.26100,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954ac90b1404a004c82df04,pc,新年的书面,稻壳封面,,,,WPS,12.1.0.24034,20.3106,,,,,,,Win32,Win32,,,,,,2025/12/31 12:54,未处理,,0,,,,,,,,,,,,,,,,
fb_6954ab81d449ec005a1e9659,pc,没有普通会员可以续费了吗？,PC端个人中心,,,,wpsoffice,12.1.0.24034,12012.2019,,6F1D59591E7F4A139C6EC8972A63DFA3,61ef5845f3071b65539f9ce343e15284,,,,Win32,Win32,,,,,,2025/12/31 12:50,未处理,,0,,,,,zh-CN,C:\Users\81240\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1351MB),"Intel(R) Core(TM) i5-14450HX, 2.40GHz, Founder  ","Intel(R) UHD Graphics, 2048MB VRAM, Driver v32.0.101.6078",DESKTOP-ZZ4F04,DDR4-2667 SDRAM:6.9/15.7GB,C:63.8/150GB,1920x1080,Microsoft Windows 11 专业版(64 位) Build 22631 v10.0.22631,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6954aa3d38041a00537e1167,pc,红色框起来的线可以自由设置长短吗，我想让两边关联的标题对齐,WPS OFFICE,,,,home,12.1.0.24031,12012.2019,1767156284920_1.10_b1f0b534584b,A128EAF2FF054A6BBC614B31C6574FB4,44977262224227879ee4fa635f5d57a7,,,,Win32,Win32,,,,,,2025/12/31 12:44,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767156187363/o_1jdpbf2ad1322ddg1n1k1hk8upe.png,,,,zh-CN,D:\WPS\WPS Office\12.1.0.24031 (1383MB),"Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz, 2.80GHz, OEM X79G","NVIDIA GeForce GTX 750 Ti, VRAM, Driver v23.21.13.9135",SIMON-A7TUG71R3,DDR3-1600 SDRAM:6.5/31.9GB,"C:65.4/100GB, D:14.3/138GB",1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
